[Strings]
nth paddr      vaddr      len size section type  string
25  0x00003668 0x00003668 64  65   .rodata ascii d98ff0617bece69507169ff7049576f1aa3a3618a21c213d2015c73c1ce8cb40
26  0x000036b0 0x000036b0 64  65   .rodata ascii e3c3759fce7acafa990612ed5c857b2bcfe53a9815bbf3c7337920593d2e307b
27  0x000036f8 0x000036f8 64  65   .rodata ascii 6da2f4aa09d54657c6d1f4cf7e83d6be51716a1c090b881b3e2868290ab3f42a
28  0x00003740 0x00003740 64  65   .rodata ascii 5aa13051d54d4f087e0c1adc00310cb3f4bae24a17d2f140d72bcc737d9f8528
29  0x00003788 0x00003788 64  65   .rodata ascii 35e2bf62b66b3d34fa7ffc333cd18b5ce7c5e76a9d8897c13f524fb2cb5c3e3d
30  0x000037d0 0x000037d0 64  65   .rodata ascii f82d9bd13db8dc514943db58d3aa055b88b73ca39cd57cbc200d52ccd85bbcc3
31  0x00003818 0x00003818 64  65   .rodata ascii c5e2e881863e5a02c02e9ede329934f19e086070200b772fb9799f1852148a22
32  0x00003860 0x00003860 64  65   .rodata ascii 2b3923f7f0315f58d425087bb3ef6aed606465766291c9a48ab7133f6ad7d2c5
33  0x000038a8 0x000038a8 64  65   .rodata ascii 023b130741c8ea2fc5bea69ffa4c14bb2427c644e3b56fc986c22c1c274cdcf1
34  0x000038f0 0x000038f0 64  65   .rodata ascii 57a4e73715facde6b0e62eacbe5b2f0e6b9fe306111525a71e25a89e1eddd480
35  0x00003938 0x00003938 64  65   .rodata ascii 683782a67cb63ae5280a90f8f84fcfe3e46c977cedeb87c55cedeaf5218ecb9b
36  0x00003980 0x00003980 64  65   .rodata ascii 618f22d9e22eba0e1f21c7c602fb50bef6f7fbfe3e20c8571c6b85d28fc84d79
37  0x000039c8 0x000039c8 64  65   .rodata ascii 9b527565d3d07a24685522181ace585b18b7b530448068971828c1066766492c
38  0x00003a10 0x00003a10 64  65   .rodata ascii 01f3a939aadd57112c743af342a0f28045f26507c029d3d2d6b3391b1e03752c
39  0x00003a58 0x00003a58 64  65   .rodata ascii 02a3654a8e8eef22fa48ada71a78d870a71449ed6ab3078190d8b8eaa7606970
40  0x00003aa0 0x00003aa0 64  65   .rodata ascii fb9405d9fbbcda36a3a7aabc674f5d03127bc3683bd8acae3c18ed378734eaa4
41  0x00003ae8 0x00003ae8 64  65   .rodata ascii 6af6f9ec8e510fda6427ab05d20bcf4ebfa087a46d4d2828254e76f312c445d1
42  0x00003b30 0x00003b30 64  65   .rodata ascii d70f4f6cd50443aa72637ee0ed7bd3b42926e61bab548f977fcd172ce119d74d
43  0x00003b78 0x00003b78 64  65   .rodata ascii b9feacd678f632799d4f90d282eafa8425bf7ae18eaa938c5c23ae1ed8091a79
44  0x00003bc0 0x00003bc0 64  65   .rodata ascii be74f92be35bcbfc0250a5564dcf205f97a3b2816666c2b2ae2c4045af85cdd8
45  0x00003c08 0x00003c08 64  65   .rodata ascii 63e2335613b90de10b61b7b73202ba009afeebc43fb928fd24816e8b59fe9eec
46  0x00003c50 0x00003c50 64  65   .rodata ascii 00c517fa82bf12179d138add467046214067d63e432d15d8d010f1effd538c8c
47  0x00003c98 0x00003c98 64  65   .rodata ascii c402f2d6f43453902a509000982cb1e2e18a518c8ad796967cdf44dc45bb87af
48  0x00003ce0 0x00003ce0 64  65   .rodata ascii 666707a7bf14b149c80b484fcf0da0a90b5dc962064878a2d63217f62f86d606
49  0x00003d28 0x00003d28 64  65   .rodata ascii 1daa496a395d64abf2121547bc5f4a0803fdc74ff5151e72a6625d8dc6ebc41d
50  0x00003d70 0x00003d70 64  65   .rodata ascii 84813ae7e0f10f3bd70ab37cedcc6b5dabd860a95f595466a36306430e7217d8
51  0x00003db8 0x00003db8 64  65   .rodata ascii 827f2fee82af4e6813d5917fe9135eb77e81175dba70f5dc0228f69c6cc1fcda
52  0x00003e00 0x00003e00 64  65   .rodata ascii bc9058c36a1feb3ea0b70ecf3d03dcecddfe80d47feb7ebf2b0f2d827cec4572
53  0x00003e48 0x00003e48 64  65   .rodata ascii da45405cb52e2b11849a3d516bd5d8a637b59789eec3d289b812e16ec2785c8a
54  0x00003e90 0x00003e90 64  65   .rodata ascii 5e4d402d3c9bb8104e2e4a83e710cfd08726e859dd62c128e71678f6ead068d2
55  0x00003ed8 0x00003ed8 64  65   .rodata ascii ae5c83ca6acf23aaa8c9ecaf9f9920ac4806a874bd5350ae3e91e50df6ccb4b3
56  0x00003f20 0x00003f20 64  65   .rodata ascii 6369d19612b95630071fa472158391806201eb1e587e056ec9e7b7d15a4c5ef8
57  0x00003f68 0x00003f68 64  65   .rodata ascii 472704d8e287f47901d8d33b0945a1f5bd1eb0b2a1eb0956e52e448d4686c076
58  0x00003fb0 0x00003fb0 64  65   .rodata ascii aebc0cd847663d3edd358aed1d86741e4d091cd5bb6d31c1a1076f887e084030
59  0x00003ff8 0x00003ff8 64  65   .rodata ascii 4e082966fda2abd2020df5110b620d415633f6d64adb2d243575151a505900fb
60  0x00004040 0x00004040 64  65   .rodata ascii d48b39738417e9db0f909b2c847716dd53d3b00852b5a8008e757f170c2b7bd9
61  0x00004088 0x00004088 64  65   .rodata ascii a1f1e9c7a588fadf4ebace0e21104b3822cb958104e66d8d29556567af2d8527
62  0x000040d0 0x000040d0 64  65   .rodata ascii be70c78246bd7d2f46aa43d92f843012dcffd283aed9f8e14ebab84766c8c7ae
63  0x00004118 0x00004118 64  65   .rodata ascii a5d292ab412e37334b6790ea6e6ed5bdcf4567e935393ecbef204664d460ce87
64  0x00004160 0x00004160 64  65   .rodata ascii 9be2417fdef4de96d36879b0c338c99b3565ed71a592d7b6b4e7687df14552fd
65  0x000041a8 0x000041a8 64  65   .rodata ascii 41628d3763801564e773776a14728e7da5b2ead407545ef739de9ac2effedb8a
66  0x000041f0 0x000041f0 64  65   .rodata ascii 4c9878e42fbcd6a56dc2937ed4406acae5b295ec3e4b30f404445305ceee1716
67  0x00004238 0x00004238 64  65   .rodata ascii 776b3289f62678aa0e8e3d136226a56d0c7b9c06594edb53e38f28d8cc1ba3e0
68  0x00004280 0x00004280 64  65   .rodata ascii 9b3ec38804acf89c4c862fbd773855bc3196874cf3b0495e12c4ff05fa67c849
69  0x000042c8 0x000042c8 64  65   .rodata ascii 77ca683f9115b8eaefa34af8213b490d2b7294d0a24bca1c3bbc288f80d35a11
70  0x00004310 0x00004310 64  65   .rodata ascii b8c6b11cb562ba4c87ad1bdce20ce26bddb9b740033979ca60265f9e2c68beed
71  0x00004358 0x00004358 64  65   .rodata ascii d6085bd7e7bb592fd9180243e52389348ae69882a354c77768a30b9c6b34bcb7
72  0x000043a0 0x000043a0 64  65   .rodata ascii 97d11cf6157cad5b1134ecebd472df0fef133eb31524dc020901ce44b180d7d9
73  0x000043e8 0x000043e8 64  65   .rodata ascii 07258350fee0d541f7a216fdbb6a9b3e63c1df4c09b9ee3ccf0cbac71f1605ae
74  0x00004430 0x00004430 64  65   .rodata ascii 9a5ac635b4f3521e8411ce5938e7ee8991615769e8569965aaf91336cc9af26e
75  0x00004478 0x00004478 64  65   .rodata ascii f799e6ca63fbbbdd75f35f90e8e89f5867d74f6e884da1072672842989a31640
76  0x000044c0 0x000044c0 64  65   .rodata ascii af50ca7addfbb33999ea65ecf6fd77f91dc43f3acdcf1e9ba0521d4bc8683ee0
77  0x00004508 0x00004508 64  65   .rodata ascii 170241723e392fbd45cd9c896d42752bb3de7b25874660bdf29ba78579759731
78  0x00004550 0x00004550 64  65   .rodata ascii 36a62703a257aedd707839c1c1b902d87ea5ddf672284795d21ec8cc92d5d314
79  0x00004598 0x00004598 64  65   .rodata ascii fa3716f701a771cbc4f518b45349dda9843b827878efca2514aab8a9b96ff233
80  0x000045e0 0x000045e0 64  65   .rodata ascii ae56344f77f5fc2c04dbed44c0592bee4235783cf9a9a562b19c0a49974751f4
81  0x00004628 0x00004628 64  65   .rodata ascii 8c4cbed5686c24f684cf8612a4fe69fcf1cb06e8e5bd67e8b2262cb7670141d2
82  0x00004670 0x00004670 64  65   .rodata ascii b317cac49c34555eb155337ec6b7e51d92eea071ca47728981fefcc07754b059
83  0x000046b8 0x000046b8 64  65   .rodata ascii a0d5861b89eb099a8b1bc27a954ba64c59a2c0b15171653d99fb7a3f62d626f3
84  0x00004700 0x00004700 64  65   .rodata ascii 95c01e1b75cda8f2e0b5c2f30106dfd54c1f833d9932b2b68457e00dc7872291
85  0x00004748 0x00004748 64  65   .rodata ascii cec03eb1e386b603973bb31f6810cf459986b066a1c4de7ad4877558b5c05dbe
86  0x00004790 0x00004790 64  65   .rodata ascii 80b825f559998a66bca974d91c45db6f234e154315af86c641d720fd48b79a88
87  0x000047d8 0x000047d8 64  65   .rodata ascii 9d3479f72a34139ed0009630608f3dd62314d43af038cd1af260b83811e747a8
88  0x00004820 0x00004820 64  65   .rodata ascii f994f659841eca1da6365c4190fbae5ce8a592693da019a6d5e5e26c1b4f57c1
89  0x00004868 0x00004868 64  65   .rodata ascii 85a2ea9a1664e78df09c9cee1d91d6e1cf123799c66ac672be4867fe39d1a6d1
90  0x000048b0 0x000048b0 64  65   .rodata ascii 33d627dc9587ed04dce0cd45fb18120d93a2784dda7aeaec0490e88c305d5bb4
91  0x000048f8 0x000048f8 64  65   .rodata ascii dda1a541aeaff702d9b17bad3903a7d9ec42abb4e298771f0fdf6abeb99ee7f2
92  0x00004940 0x00004940 64  65   .rodata ascii 31522561496a5e47f741cd943784cb0790a81be16272c6f4c4eb169b77efb869
93  0x00004988 0x00004988 64  65   .rodata ascii 5830905b17f01823ee548b32e68202c4c26ba54ba5708589263ba01acb958787
94  0x000049d0 0x000049d0 64  65   .rodata ascii 33d790146e416ef1f9b00c27f0418fc54a09b03034bd268101b9d0c7aad835ac
95  0x00004a18 0x00004a18 64  65   .rodata ascii 99d79825004c122b71e9538adbab0a3cfa1cded7257691dc5bf22925e292c997
96  0x00004a60 0x00004a60 64  65   .rodata ascii 33f4ecd3778f7d1186d6b1bb8d05ce030096af832e32201d534b8a9f0587cc01
97  0x00004aa8 0x00004aa8 64  65   .rodata ascii 39c1ea2f0bdb38ad7b4fe3f11c7ab3444a4f3372d780b3850a78c2dbac71c970
98  0x00004af0 0x00004af0 64  65   .rodata ascii ea761e6bbd26a3255abcfb7ace089ed18322ef48e34879e5e8680c9456fecaec
99  0x00004b38 0x00004b38 64  65   .rodata ascii f14db1bba8aad2ed335b5228934efa83ed03fbf3fea5d9841cf0031e96ac00a5
100 0x00004b80 0x00004b80 64  65   .rodata ascii 059c44c8f962354c5d74703b6b2c1467eb763a24a42198ce0ee5c6be153fd1d4
101 0x00004bc8 0x00004bc8 64  65   .rodata ascii b5de87f7f55f6ee17eb5de4f97e9038bda9ad54833c5af0eed5e828c7d2fcade
102 0x00004c10 0x00004c10 64  65   .rodata ascii 85cc9b42f9931e8afa8f560ff390aa01f92cd4f143310dc4e6e3a8deca18358f
103 0x00004c51 0x00004c51 12  13   .rodata ascii blip blop :)
